selling_price,year,km_driven,mileage,engine,max_power,age,Diesel,Electric,LPG,Petrol,Manual,5seats,>5seats
4.11,2019.0,50000,21.79,998.0,67.05,3.0,0,0,0,1,1,1,0
4.5,2015.0,26500,20.85,1197.0,83.14,7.0,0,0,0,1,1,1,0
12.9,2015.0,80000,13.7,1997.0,153.86,7.0,0,0,0,1,0,1,0
4.55,2015.0,46000,16.47,1198.0,74.0,7.0,0,0,0,1,1,1,0
7.1,2019.0,9000,20.7,1197.0,81.86,3.0,0,0,0,1,1,1,0
4.5,2016.0,70000,18.49,1493.0,100.0,6.0,1,0,0,0,1,0,1
4.65,2015.0,33000,17.71,1197.0,78.9,7.0,0,0,0,1,1,1,0
7.7,2016.0,53000,16.8,1497.0,116.3,6.0,0,0,0,1,1,1,0
3.2,2015.0,50000,19.09,1405.0,69.01,7.0,1,0,0,0,1,1,0
3.25,2015.0,50000,19.09,1405.0,69.01,7.0,1,0,0,0,1,1,0
20.90249999999996,2018.0,11387,10.91,3198.0,197.0,4.0,1,0,0,0,0,0,1
7.2,2018.0,50000,25.8,1498.0,98.6,4.0,1,0,0,0,1,1,0
3.75,2016.0,52000,25.32,1198.0,77.0,6.0,1,0,0,0,1,1,0
1.45,2010.0,60000,14.49,1399.0,92.7,12.0,0,0,0,1,1,1,0
4.0,2015.0,35000,19.44,1198.0,67.0,7.0,0,0,0,1,1,0,1
6.0,2015.0,48000,19.87,1461.0,83.8,7.0,1,0,0,0,1,1,0
6.0,2018.0,18000,18.7,1199.0,88.7,4.0,0,0,0,1,1,1,0
2.7,2012.0,57413,14.4,998.0,61.7,10.0,0,0,1,0,1,1,0
5.0,2015.0,30000,18.6,1197.0,81.83,7.0,0,0,0,1,1,1,0
6.5,2015.0,55000,23.9,1582.0,126.2,7.0,1,0,0,0,1,1,0
3.8,2015.0,120000,18.2,1199.0,82.4,7.0,0,0,0,1,1,1,0
7.28,2012.0,165000,13.5,2477.0,175.56,10.0,1,0,0,0,1,0,1
6.6,2018.0,10000,21.21,1197.0,81.8,4.0,0,0,0,1,0,1,0
1.8,2010.0,120000,18.0,1248.0,75.0,12.0,1,0,0,0,1,1,0
20.9,2016.0,68000,22.69,1995.0,190.0,6.0,1,0,0,0,0,1,0
2.5,2015.0,55000,25.44,936.0,56.3,7.0,1,0,0,0,1,1,0
12.75,2020.0,8000,16.8,1497.0,113.4,2.0,0,0,0,1,1,1,0
4.55,2012.0,80000,14.53,1798.0,138.1,10.0,0,0,0,1,1,1,0
4.95,2015.0,65000,28.4,1248.0,74.0,7.0,1,0,0,0,1,1,0
2.2,2010.0,47000,21.1,1197.0,85.8,12.0,0,0,0,1,1,1,0
8.0,2018.0,185000,25.1,1248.0,88.5,4.0,1,0,0,0,1,1,0
12.95,2014.0,68000,13.01,2199.0,194.3,8.0,1,0,0,0,0,0,1
4.75,2016.0,25000,18.9,1197.0,82.0,6.0,0,0,0,1,1,1,0
3.8,2014.0,280000,15.3,2956.0,83.83,8.0,1,0,0,0,1,0,1
9.0,2018.0,7791,25.1,1248.0,88.5,4.0,1,0,0,0,1,1,0
5.3,2015.0,70000,20.73,1373.0,91.1,7.0,0,0,0,1,1,1,0
5.3,2016.0,9500,23.84,1199.0,84.0,6.0,0,0,0,1,1,1,0
6.5,2015.0,9100,17.01,1591.0,121.3,7.0,0,0,0,1,1,1,0
4.95,2010.0,82000,12.8,2354.0,177.6,12.0,0,0,0,1,1,1,0
3.35,2010.0,86000,17.0,1497.0,118.0,12.0,0,0,0,1,1,1,0
20.90249999999996,2020.0,19000,17.01,1968.0,188.0,2.0,1,0,0,0,0,1,0
12.9,2013.0,78000,16.55,1968.0,147.51,9.0,1,0,0,0,0,1,0
3.0,2011.0,60000,20.0,1399.0,68.0,11.0,1,0,0,0,1,1,0
5.5,2019.0,7883,21.5,1197.0,81.8,3.0,0,0,0,1,0,1,0
3.9,2013.0,50205,23.4,1248.0,74.0,9.0,1,0,0,0,1,1,0
2.6,2008.0,220000,13.6,2523.0,63.0,14.0,1,0,0,0,1,0,1
3.95,2017.0,58000,24.7,1047.0,69.0,5.0,1,0,0,0,1,1,0
5.5,2012.0,170000,12.05,2179.0,120.0,10.0,1,0,0,0,1,0,1
6.5,2018.0,15000,22.0,1197.0,81.8,4.0,0,0,0,1,1,1,0
3.75,2016.0,71245,28.4,1248.0,74.0,6.0,1,0,0,0,1,1,0
3.0,2012.0,20000,21.12,1248.0,88.8,10.0,1,0,0,0,1,1,0
4.5,2016.0,52000,16.78,1496.0,88.73,6.0,0,0,0,1,1,1,0
3.35,2015.0,61000,19.4,1198.0,86.8,7.0,0,0,0,1,1,1,0
13.0,2019.0,7000,16.1,1353.0,138.0,3.0,0,0,0,1,1,1,0
3.6,2018.0,20000,23.95,998.0,67.05,4.0,0,0,0,1,1,1,0
5.05,2020.0,8700,21.63,998.0,67.04,2.0,0,0,0,1,1,1,0
3.1,2019.0,25000,24.7,796.0,47.3,3.0,0,0,0,1,1,1,0
5.45,2015.0,42000,18.6,1197.0,81.86,7.0,0,0,0,1,1,1,0
3.0,2009.0,120000,14.0,2498.0,112.0,13.0,1,0,0,0,1,0,1
2.0,2009.0,60000,14.4,1399.0,94.0,13.0,0,0,0,1,1,1,0
1.5,2006.0,120000,13.6,2523.0,63.0,16.0,1,0,0,0,1,0,1
5.8,2018.0,50000,21.4,1197.0,83.1,4.0,0,0,0,1,1,1,0
2.5,2011.0,58000,18.9,998.0,67.1,11.0,0,0,0,1,1,1,0
6.5,2017.0,36000,17.43,1396.0,105.5,5.0,0,0,0,1,1,1,0
8.0,2016.0,80000,23.65,1248.0,88.5,6.0,1,0,0,0,1,1,0
14.75,2013.0,71000,15.73,1968.0,174.33,9.0,1,0,0,0,0,1,0
4.1,2018.0,30000,25.47,1248.0,88.5,4.0,1,0,0,0,1,0,1
5.31,2015.0,162828,22.77,1498.0,98.59,7.0,1,0,0,0,1,1,0
8.9,2018.0,7500,23.0,1498.0,98.96,4.0,1,0,0,0,1,1,0
